"filename", "language", "C#", "XML", "comment", "blank", "total"
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\CS-Coursework.csproj", "XML", 0, 30, 0, 0, 30
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Engine\Game1.cs", "C#", 52, 0, 1, 15, 68
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Engine\GameObject.cs", "C#", 8, 0, 0, 5, 13
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Engine\Gamestate.cs", "C#", 30, 0, 0, 4, 34
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Engine\GamestateManager.cs", "C#", 25, 0, 0, 3, 28
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Engine\Program.cs", "C#", 2, 0, 0, 0, 2
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Gamestates\Gameplay\BoundingBox.cs", "C#", 20, 0, 0, 5, 25
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Gamestates\Gameplay\EditorObject.cs", "C#", 33, 0, 2, 8, 43
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Gamestates\Gameplay\GameplayGrid.cs", "C#", 20, 0, 3, 9, 32
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Gamestates\Gameplay\GameplayObjectManager.cs", "C#", 65, 0, 12, 13, 90
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Gamestates\Gameplay\LevelGameplay.cs", "C#", 73, 0, 6, 21, 100
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Gamestates\LevelBrowser.cs", "C#", 70, 0, 0, 18, 88
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Gamestates\LevelEditor\Grid.cs", "C#", 43, 0, 7, 12, 62
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Gamestates\LevelEditor\LevelEditor.cs", "C#", 76, 0, 7, 21, 104
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Gamestates\LevelEditor\LevelObjectManager.cs", "C#", 46, 0, 10, 11, 67
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Gamestates\LevelEditor\ObjectSelector.cs", "C#", 35, 0, 4, 10, 49
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Gamestates\MainMenu.cs", "C#", 50, 0, 3, 16, 69
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Objects\Button.cs", "C#", 69, 0, 5, 10, 84
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Objects\ButtonBar.cs", "C#", 35, 0, 4, 9, 48
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Objects\CellLabel.cs", "C#", 17, 0, 0, 6, 23
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Objects\Highlighter.cs", "C#", 17, 0, 0, 6, 23
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Objects\LevelObjects\BasicSurface.cs", "C#", 5, 0, 0, 3, 8
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Objects\LevelObjects\Door.cs", "C#", 10, 0, 2, 3, 15
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Objects\LevelObjects\IceSurface.cs", "C#", 8, 0, 1, 3, 12
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Objects\LevelObjects\Key.cs", "C#", 14, 0, 2, 4, 20
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Objects\LevelObjects\LevelObject.cs", "C#", 47, 0, 1, 12, 60
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Objects\LevelObjects\SpringSurface.cs", "C#", 14, 0, 2, 5, 21
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Objects\LevelObjects\StickySurface.cs", "C#", 10, 0, 0, 4, 14
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Objects\Player\PlayerCharacter.cs", "C#", 144, 0, 19, 24, 187
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Objects\Timer.cs", "C#", 42, 0, 0, 8, 50
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Testing\TestGameObject.cs", "C#", 24, 0, 0, 3, 27
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Testing\TestGamestate.cs", "C#", 27, 0, 0, 2, 29
"Total", "-", 1131, 30, 91, 273, 1525
